#L	H	K	Y	I	error	LB	dL
0.5723130689039818	0.0	0.0	0.0	0.004537283617017012	9.488257282882932e-06	0.0	2.0
0.5951885688868318	0.0	0.0	0.0	0.004315567648979565	9.638826539564525e-06	0.0	2.0
0.6180642046893587	0.0	0.0	0.0	0.004213936350189739	9.88663101872238e-06	0.0	2.0
0.6409380567865217	0.0	0.0	0.0	0.004189656758722801	1.0214031330960303e-05	0.0	2.0
0.6638099193080127	0.0	0.0	0.0	0.003993726073707439	1.0344843553098393e-05	0.0	2.0
0.6866784523929887	0.0	0.0	0.0	0.003959439854984053	1.0618175078483787e-05	0.0	2.0
0.709544911122428	0.0	0.0	0.0	0.003873752992584904	1.0910154223698713e-05	0.0	2.0
0.7324101839891486	0.0	0.0	0.0	0.0037884963343683465	1.1113117245970316e-05	0.0	2.0
0.7552718468004984	0.0	0.0	0.0	0.0038072613133337376	1.150678089584958e-05	0.0	2.0
0.7781334915726803	0.0	0.0	0.0	0.0037476538007045453	1.175577749114362e-05	0.0	2.0
0.8009909241058911	0.0	0.0	0.0	0.003364436755007695	1.1459370743963087e-05	0.0	2.0
0.8238488130711926	0.0	0.0	0.0	0.00332802673901613	1.1701595960346162e-05	0.0	2.0
0.8467022961347498	0.0	0.0	0.0	0.0031248399299474874	1.1652668186863124e-05	0.0	2.0
0.8695552792600336	0.0	0.0	0.0	0.0035689502123198067	1.2800493157214475e-05	0.0	2.0
0.8923989748363099	0.0	0.0	0.0	0.003368953882275828	1.276878782297325e-05	0.0	2.0
0.9152457639473887	0.0	0.0	0.0	0.003306674573996187	1.2975051402620882e-05	0.0	2.0
0.9380852727921307	0.0	0.0	0.0	0.0030427534449512014	1.2739416418138517e-05	0.0	2.0
0.9609265573407604	0.0	0.0	0.0	0.0033331953749695057	1.367211487408096e-05	0.0	2.0
0.9837641424670586	0.0	0.0	0.0	0.002935144865017885	1.3135734228151031e-05	0.0	2.0
1.00659811708031	0.0	0.0	0.0	0.0030343347660994405	1.3646923671252412e-05	0.0	2.0
1.029432264647764	0.0	0.0	0.0	0.0028019953676866795	1.3420227554074583e-05	0.0	2.0
1.052257510534898	0.0	0.0	0.0	0.002748817546965408	1.3610256409971345e-05	0.0	2.0
1.075082819918484	0.0	0.0	0.0	0.0026805360951447886	1.3724956043501104e-05	0.0	2.0
1.097902518641079	0.0	0.0	0.0	0.002622080977464809	1.3865477932636897e-05	0.0	2.0
1.120718813723173	0.0	0.0	0.0	0.0026341814302388252	1.4175907894344928e-05	0.0	2.0
1.143532006768517	0.0	0.0	0.0	0.002954184717888719	1.531069727135168e-05	0.0	2.0
1.166343185998841	0.0	0.0	0.0	0.0029918147583030985	1.5727902491108067e-05	0.0	2.0
1.189153013929811	0.0	0.0	0.0	0.003254951413867	1.6717015198485986e-05	0.0	2.0
1.211958400472221	0.0	0.0	0.0	0.003113588054388523	1.6616981524453194e-05	0.0	2.0
1.234756152281245	0.0	0.0	0.0	0.0037229804085422116	1.8517999652014052e-05	0.0	2.0
1.257554956167331	0.0	0.0	0.0	0.003957138440774478	1.9425010754286616e-05	0.0	2.0
1.280345314051264	0.0	0.0	0.0	0.0043149245512075374	2.065599023283786e-05	0.0	2.0
