# rodscan: ['L', 'H', 'K', 0, 'F', 'Ferr', 'BL', 'dL']
# Escan: ['E', 'H', 'K', 'L', 'F', 'Ferr', 'BL', 'dL']
4.42000000  1.00  0.00  0.00 0.02743767 0.00079690 3.00000000 2.00000000
4.54000000  1.00  0.00  0.00 0.02901462 0.00129212 3.00000000 2.00000000
4.66000000  1.00  0.00  0.00 0.02941128 0.00074838 3.00000000 2.00000000
4.74000000  1.00  0.00  0.00 0.03061009 0.00077995 3.00000000 2.00000000
4.78000000  1.00  0.00  0.00 0.03505157 0.00084134 3.00000000 2.00000000
0.61100000  2.00  0.00  0.00 0.14043127 0.00251130 2.00000000 2.00000000
0.73100000  2.00  0.00  0.00 0.11623846 0.00205615 2.00000000 2.00000000
0.85100000  2.00  0.00  0.00 0.09631630 0.00180448 2.00000000 2.00000000
0.97100000  2.00  0.00  0.00 0.07896841 0.00142875 2.00000000 2.00000000
1.09100000  2.00  0.00  0.00 0.06724205 0.00122466 2.00000000 2.00000000
1.21100000  2.00  0.00  0.00 0.05575072 0.00101302 2.00000000 2.00000000
1.33100000  2.00  0.00  0.00 0.04420757 0.00086986 2.00000000 2.00000000
1.45100000  2.00  0.00  0.00 0.02684187 0.00058037 2.00000000 2.00000000
1.57100000  2.00  0.00  0.00 0.02226449 0.00051229 2.00000000 2.00000000
1.69100000  2.00  0.00  0.00 0.03592252 0.00072537 2.00000000 2.00000000
1.73100000  2.00  0.00  0.00 0.04273070 0.00093941 2.00000000 2.00000000
1.77100000  2.00  0.00  0.00 0.05301695 0.00111396 2.00000000 2.00000000
1.81100000  2.00  0.00  0.00 0.06701279 0.00142327 2.00000000 2.00000000
1.85100000  2.00  0.00  0.00 0.09433178 0.00191617 2.00000000 2.00000000
1.89100000  2.00  0.00  0.00 0.13825348 0.00272685 2.00000000 2.00000000
1.93100000  2.00  0.00  0.00 0.22611706 0.00424658 2.00000000 2.00000000
1.97100000  2.00  0.00  0.00 0.51861643 0.00869664 2.00000000 2.00000000
2.01100000  2.00  0.00  0.00 6.43944919 0.10377626 2.00000000 2.00000000
2.05100000  2.00  0.00  0.00 0.50910540 0.00857765 2.00000000 2.00000000
2.09100000  2.00  0.00  0.00 0.28918037 0.00529606 2.00000000 2.00000000
2.13100000  2.00  0.00  0.00 0.21162822 0.00415934 2.00000000 2.00000000
2.17100000  2.00  0.00  0.00 0.17131777 0.00356455 2.00000000 2.00000000
2.21100000  2.00  0.00  0.00 0.15179882 0.00316588 2.00000000 2.00000000
2.25100000  2.00  0.00  0.00 0.13746496 0.00283341 2.00000000 2.00000000
2.29100000  2.00  0.00  0.00 0.12694243 0.00260211 2.00000000 2.00000000
2.41100000  2.00  0.00  0.00 0.11259907 0.00219350 2.00000000 2.00000000
2.53100000  2.00  0.00  0.00 0.10437336 0.00211567 2.00000000 2.00000000
2.65100000  2.00  0.00  0.00 0.10709811 0.00212502 2.00000000 2.00000000
2.77100000  2.00  0.00  0.00 0.11251417 0.00231116 2.00000000 2.00000000
2.89100000  2.00  0.00  0.00 0.11585036 0.00246688 2.00000000 2.00000000
